ts_code,name,market_cap_wan,close,trade_date,sw_l1,sw_l2,sw_l3
601398.SH,工商银行,280135318.0806,7.86,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
601939.SH,建设银行,279650807.8235,10.69,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
601288.SH,农业银行,237638480.0181,6.79,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
600941.SH,中国移动,212231078.1612,97.86,20260828,通信,通信服务,电信运营商
601857.SH,中国石油,205532558.0694,11.23,20260828,石油石化,炼化及贸易,炼油化工
601988.SH,中国银行,199449482.9042,6.19,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
300750.SZ,宁德时代,170492233.065,368.5,20260828,电力设备,电池,锂电池
600938.SH,中国海油,162504912.726,34.19,20260828,石油石化,油气开采Ⅱ,油气开采Ⅲ
600519.SH,贵州茅台,162185586.784,1297.4,20260828,食品饮料,白酒Ⅱ,白酒Ⅲ
601138.SH,工业富联,127081567.0892,64.04,20260828,电子,消费电子,消费电子零部件及组装
601628.SH,中国人寿,108169026.035,38.27,20260828,非银金融,保险Ⅱ,保险Ⅲ
688981.SH,中芯国际,107766616.986,125.88,20260828,电子,半导体,集成电路制造
601088.SH,中国神华,103306775.5709,47.63,20260828,煤炭,煤炭开采,动力煤
601318.SH,中国平安,101131180.57,55.85,20260828,非银金融,保险Ⅱ,保险Ⅲ
300308.SZ,中际旭创,100404172.9102,858.35,20260828,通信,通信设备,通信网络设备及器件
600036.SH,招商银行,99240092.436,39.35,20260828,银行,股份制银行Ⅱ,股份制银行Ⅲ
601899.SH,紫金矿业,92136826.089,34.65,20260828,有色金属,工业金属,铜
002594.SZ,比亚迪,84169968.2432,92.32,20260828,汽车,乘用车,电动乘用车
600900.SH,长江电力,68633350.6485,28.05,20260828,公用事业,电力,水力发电
600028.SH,中国石化,66025330.7532,5.46,20260828,石油石化,炼化及贸易,炼油化工
688256.SH,寒武纪,65817746.202,1046.63,20260828,电子,半导体,数字芯片设计
000333.SZ,美的集团,65650683.6347,86.23,20260828,家用电器,白色家电,空调
601328.SH,交通银行,62738286.7983,7.1,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
601658.SH,邮储银行,59927431.6965,4.99,20260828,银行,国有大型银行Ⅱ,国有大型银行Ⅲ
601728.SH,中国电信,57649497.381,6.3,20260828,通信,通信服务,电信运营商
688041.SH,海光信息,57060176.0169,245.49,20260828,电子,半导体,数字芯片设计
300502.SZ,新易盛,55630842.33,399.0,20260828,通信,通信设备,通信网络设备及器件
002371.SZ,北方华创,50617547.3892,697.51,20260828,电子,半导体,半导体设备
601998.SH,中信银行,48522581.5256,8.72,20260828,银行,股份制银行Ⅱ,股份制银行Ⅲ
603259.SH,药明康德,46964338.328,157.4,20260828,医药生物,医疗服务,医疗研发外包
002475.SZ,立讯精密,43796074.1897,56.6,20260828,电子,消费电子,消费电子零部件及组装
600030.SH,中信证券,43638592.2881,27.93,20260828,非银金融,证券Ⅱ,证券Ⅲ
688347.SH,华虹公司,43097352.4464,248.01,20260828,电子,半导体,集成电路制造
603993.SH,洛阳钼业,41740299.2002,19.51,20260828,有色金属,工业金属,铜
688235.SH,百济神州,39920304.996,271.7,20260828,医药生物,化学制药,化学制剂
601166.SH,兴业银行,36886864.1085,17.43,20260828,银行,股份制银行Ⅱ,股份制银行Ⅲ
002384.SZ,东山精密,35829905.915,195.62,20260828,电子,元件,印制电路板
600183.SH,生益科技,35378438.8905,145.65,20260828,电子,元件,印制电路板
688012.SH,中微公司,35152812.41,367.0,20260828,电子,半导体,半导体设备
601869.SH,长飞光纤,34967399.8036,422.36,20260828,通信,通信设备,通信线缆及配套
002415.SZ,海康威视,32168698.965,35.1,20260828,计算机,计算机设备,安防设备
601319.SH,中国人保,31575929.2884,7.14,20260828,非银金融,保险Ⅱ,保险Ⅲ
601211.SH,国泰海通,31505255.936,17.92,20260828,非银金融,证券Ⅱ,证券Ⅲ
600276.SH,恒瑞医药,31407229.9268,47.32,20260828,医药生物,化学制药,化学制剂
300059.SZ,东方财富,30726712.2058,19.42,20260828,非银金融,证券Ⅱ,证券Ⅲ
601601.SH,中国太保,30563824.9455,31.77,20260828,非银金融,保险Ⅱ,保险Ⅲ
600000.SH,浦发银行,29975254.47,9.0,20260828,银行,股份制银行Ⅱ,股份制银行Ⅲ
300394.SZ,天孚通信,28751965.35,263.58,20260828,通信,通信设备,通信网络设备及器件
603986.SH,兆易创新,27846646.4392,396.82,20260828,电子,半导体,数字芯片设计
000858.SZ,五粮液,27757378.808,71.51,20260828,食品饮料,白酒Ⅱ,白酒Ⅲ
688802.SH,沐曦股份-U,27002749.0,674.9,20260828,电子,半导体,数字芯片设计
601225.SH,陕西煤业,26244365.0,27.07,20260828,煤炭,煤炭开采,动力煤
600150.SH,中国船舶,26174110.8814,34.78,20260828,国防军工,航海装备Ⅱ,航海装备Ⅲ
688008.SH,澜起科技,25997459.4,213.0,20260828,电子,半导体,数字芯片设计
601919.SH,中远海控,25772591.5649,16.88,20260828,交通运输,航运港口,航运
688795.SH,摩尔线程-U,25093865.5416,533.88,20260828,电子,半导体,数字芯片设计
002916.SZ,深南电路,24685477.584,362.4,20260828,电子,元件,印制电路板
600309.SH,万华化学,24430200.3664,78.04,20260828,基础化工,化学制品,聚氨酯
002379.SZ,宏桥控股,24107568.67,18.5,20260828,有色金属,工业金属,铝
002714.SZ,牧原股份,24061847.7448,41.68,20260828,农林牧渔,养殖业,生猪养殖
000338.SZ,潍柴动力,23881569.7384,27.64,20260828,汽车,汽车零部件,底盘与发动机系统
601816.SH,京沪高铁,23777880.1884,4.86,20260828,交通运输,铁路公路,铁路运输
688820.SH,盛合晶微,23759683.6455,127.55,20260828,电子,半导体,集成电路封测
300476.SZ,胜宏科技,23744080.768,241.6,20260828,电子,元件,印制电路板
002463.SZ,沪电股份,23419503.795,121.7,20260828,电子,元件,印制电路板
688808.SH,联讯仪器,23397923.4732,2279.02,20260828,机械设备,通用设备,仪器仪表
600188.SH,兖矿能源,23104833.304,23.02,20260828,煤炭,煤炭开采,动力煤
000001.SZ,平安银行,22607894.703,11.65,20260828,银行,股份制银行Ⅱ,股份制银行Ⅲ
300408.SZ,三环集团,22411169.5664,112.24,20260828,电子,元件,被动元件
002142.SZ,宁波银行,22359758.4488,33.86,20260828,银行,城商行Ⅱ,城商行Ⅲ
600919.SH,江苏银行,22094994.698,12.04,20260828,银行,城商行Ⅱ,城商行Ⅲ
000725.SZ,京东方A,21930242.176,5.92,20260828,电子,光学光电子,面板
000651.SZ,格力电器,21845482.62,39.0,20260828,家用电器,白色家电,空调
003816.SZ,中国广核,21411498.7896,4.24,20260828,公用事业,电力,核力发电
301666.SZ,大普微-UW,20757788.8518,475.86,20260828,电子,半导体,数字芯片设计
