level,code,name,parentCode,status,sourceReleaseId
1,801010.SI,农林牧渔,,active,qdh-bj-20260830T124025
1,801030.SI,基础化工,,active,qdh-bj-20260830T124025
1,801040.SI,钢铁,,active,qdh-bj-20260830T124025
1,801050.SI,有色金属,,active,qdh-bj-20260830T124025
1,801080.SI,电子,,active,qdh-bj-20260830T124025
1,801110.SI,家用电器,,active,qdh-bj-20260830T124025
1,801120.SI,食品饮料,,active,qdh-bj-20260830T124025
1,801130.SI,纺织服饰,,active,qdh-bj-20260830T124025
1,801140.SI,轻工制造,,active,qdh-bj-20260830T124025
1,801150.SI,医药生物,,active,qdh-bj-20260830T124025
1,801160.SI,公用事业,,active,qdh-bj-20260830T124025
1,801170.SI,交通运输,,active,qdh-bj-20260830T124025
1,801180.SI,房地产,,active,qdh-bj-20260830T124025
1,801200.SI,商贸零售,,active,qdh-bj-20260830T124025
1,801210.SI,社会服务,,active,qdh-bj-20260830T124025
1,801230.SI,综合,,active,qdh-bj-20260830T124025
1,801710.SI,建筑材料,,active,qdh-bj-20260830T124025
1,801720.SI,建筑装饰,,active,qdh-bj-20260830T124025
1,801730.SI,电力设备,,active,qdh-bj-20260830T124025
1,801740.SI,国防军工,,active,qdh-bj-20260830T124025
1,801750.SI,计算机,,active,qdh-bj-20260830T124025
1,801760.SI,传媒,,active,qdh-bj-20260830T124025
1,801770.SI,通信,,active,qdh-bj-20260830T124025
1,801780.SI,银行,,active,qdh-bj-20260830T124025
1,801790.SI,非银金融,,active,qdh-bj-20260830T124025
1,801880.SI,汽车,,active,qdh-bj-20260830T124025
1,801890.SI,机械设备,,active,qdh-bj-20260830T124025
1,801950.SI,煤炭,,active,qdh-bj-20260830T124025
1,801960.SI,石油石化,,active,qdh-bj-20260830T124025
1,801970.SI,环保,,active,qdh-bj-20260830T124025
1,801980.SI,美容护理,,active,qdh-bj-20260830T124025
2,801011.SI,林业Ⅱ,801010.SI,active,qdh-bj-20260830T124025
2,801012.SI,农产品加工,801010.SI,active,qdh-bj-20260830T124025
2,801014.SI,饲料,801010.SI,active,qdh-bj-20260830T124025
2,801015.SI,渔业,801010.SI,active,qdh-bj-20260830T124025
2,801016.SI,种植业,801010.SI,active,qdh-bj-20260830T124025
2,801017.SI,养殖业,801010.SI,active,qdh-bj-20260830T124025
2,801018.SI,动物保健Ⅱ,801010.SI,active,qdh-bj-20260830T124025
2,801019.SI,农业综合Ⅱ,801010.SI,active,qdh-bj-20260830T124025
2,801032.SI,化学纤维,801030.SI,active,qdh-bj-20260830T124025
2,801033.SI,化学原料,801030.SI,active,qdh-bj-20260830T124025
2,801034.SI,化学制品,801030.SI,active,qdh-bj-20260830T124025
2,801036.SI,塑料,801030.SI,active,qdh-bj-20260830T124025
2,801037.SI,橡胶,801030.SI,active,qdh-bj-20260830T124025
2,801038.SI,农化制品,801030.SI,active,qdh-bj-20260830T124025
2,801039.SI,非金属材料Ⅱ,801030.SI,active,qdh-bj-20260830T124025
2,801043.SI,冶钢原料,801040.SI,active,qdh-bj-20260830T124025
2,801044.SI,普钢,801040.SI,active,qdh-bj-20260830T124025
2,801045.SI,特钢Ⅱ,801040.SI,active,qdh-bj-20260830T124025
2,801051.SI,金属新材料,801050.SI,active,qdh-bj-20260830T124025
2,801053.SI,贵金属,801050.SI,active,qdh-bj-20260830T124025
2,801054.SI,小金属,801050.SI,active,qdh-bj-20260830T124025
2,801055.SI,工业金属,801050.SI,active,qdh-bj-20260830T124025
2,801056.SI,能源金属,801050.SI,active,qdh-bj-20260830T124025
2,801072.SI,通用设备,801890.SI,active,qdh-bj-20260830T124025
2,801074.SI,专用设备,801890.SI,active,qdh-bj-20260830T124025
2,801076.SI,轨交设备Ⅱ,801890.SI,active,qdh-bj-20260830T124025
2,801077.SI,工程机械,801890.SI,active,qdh-bj-20260830T124025
2,801078.SI,自动化设备,801890.SI,active,qdh-bj-20260830T124025
2,801081.SI,半导体,801080.SI,active,qdh-bj-20260830T124025
2,801082.SI,其他电子Ⅱ,801080.SI,active,qdh-bj-20260830T124025
2,801083.SI,元件,801080.SI,active,qdh-bj-20260830T124025
2,801084.SI,光学光电子,801080.SI,active,qdh-bj-20260830T124025
2,801085.SI,消费电子,801080.SI,active,qdh-bj-20260830T124025
2,801086.SI,电子化学品Ⅱ,801080.SI,active,qdh-bj-20260830T124025
2,801092.SI,汽车服务,801880.SI,active,qdh-bj-20260830T124025
2,801093.SI,汽车零部件,801880.SI,active,qdh-bj-20260830T124025
2,801095.SI,乘用车,801880.SI,active,qdh-bj-20260830T124025
2,801096.SI,商用车,801880.SI,active,qdh-bj-20260830T124025
2,801101.SI,计算机设备,801750.SI,active,qdh-bj-20260830T124025
2,801102.SI,通信设备,801770.SI,active,qdh-bj-20260830T124025
2,801103.SI,IT服务Ⅱ,801750.SI,active,qdh-bj-20260830T124025
2,801104.SI,软件开发,801750.SI,active,qdh-bj-20260830T124025
2,801111.SI,白色家电,801110.SI,active,qdh-bj-20260830T124025
2,801112.SI,黑色家电,801110.SI,active,qdh-bj-20260830T124025
2,801113.SI,小家电,801110.SI,active,qdh-bj-20260830T124025
2,801114.SI,厨卫电器,801110.SI,active,qdh-bj-20260830T124025
2,801115.SI,照明设备Ⅱ,801110.SI,active,qdh-bj-20260830T124025
2,801116.SI,家电零部件Ⅱ,801110.SI,active,qdh-bj-20260830T124025
2,801117.SI,其他家电Ⅱ,801110.SI,active,qdh-bj-20260830T124025
2,801124.SI,食品加工,801120.SI,active,qdh-bj-20260830T124025
2,801125.SI,白酒Ⅱ,801120.SI,active,qdh-bj-20260830T124025
2,801126.SI,非白酒,801120.SI,active,qdh-bj-20260830T124025
2,801127.SI,饮料乳品,801120.SI,active,qdh-bj-20260830T124025
2,801128.SI,休闲食品,801120.SI,active,qdh-bj-20260830T124025
2,801129.SI,调味发酵品Ⅱ,801120.SI,active,qdh-bj-20260830T124025
2,801131.SI,纺织制造,801130.SI,active,qdh-bj-20260830T124025
2,801132.SI,服装家纺,801130.SI,active,qdh-bj-20260830T124025
2,801133.SI,饰品,801130.SI,active,qdh-bj-20260830T124025
2,801141.SI,包装印刷,801140.SI,active,qdh-bj-20260830T124025
2,801142.SI,家居用品,801140.SI,active,qdh-bj-20260830T124025
2,801143.SI,造纸,801140.SI,active,qdh-bj-20260830T124025
2,801145.SI,文娱用品,801140.SI,active,qdh-bj-20260830T124025
2,801151.SI,化学制药,801150.SI,active,qdh-bj-20260830T124025
2,801152.SI,生物制品,801150.SI,active,qdh-bj-20260830T124025
2,801153.SI,医疗器械,801150.SI,active,qdh-bj-20260830T124025
2,801154.SI,医药商业,801150.SI,active,qdh-bj-20260830T124025
2,801155.SI,中药Ⅱ,801150.SI,active,qdh-bj-20260830T124025
2,801156.SI,医疗服务,801150.SI,active,qdh-bj-20260830T124025
2,801161.SI,电力,801160.SI,active,qdh-bj-20260830T124025
2,801163.SI,燃气Ⅱ,801160.SI,active,qdh-bj-20260830T124025
2,801178.SI,物流,801170.SI,active,qdh-bj-20260830T124025
2,801179.SI,铁路公路,801170.SI,active,qdh-bj-20260830T124025
2,801181.SI,房地产开发,801180.SI,active,qdh-bj-20260830T124025
2,801183.SI,房地产服务,801180.SI,active,qdh-bj-20260830T124025
2,801191.SI,多元金融,801790.SI,active,qdh-bj-20260830T124025
2,801193.SI,证券Ⅱ,801790.SI,active,qdh-bj-20260830T124025
2,801194.SI,保险Ⅱ,801790.SI,active,qdh-bj-20260830T124025
2,801202.SI,贸易Ⅱ,801200.SI,active,qdh-bj-20260830T124025
2,801203.SI,一般零售,801200.SI,active,qdh-bj-20260830T124025
2,801204.SI,专业连锁Ⅱ,801200.SI,active,qdh-bj-20260830T124025
2,801206.SI,互联网电商,801200.SI,active,qdh-bj-20260830T124025
2,801207.SI,旅游零售Ⅱ,801200.SI,active,qdh-bj-20260830T124025
2,801216.SI,体育Ⅱ,801210.SI,active,qdh-bj-20260830T124025
2,801218.SI,专业服务,801210.SI,active,qdh-bj-20260830T124025
2,801219.SI,酒店餐饮,801210.SI,active,qdh-bj-20260830T124025
2,801223.SI,通信服务,801770.SI,active,qdh-bj-20260830T124025
2,801231.SI,综合Ⅱ,801230.SI,active,qdh-bj-20260830T124025
2,801711.SI,水泥,801710.SI,active,qdh-bj-20260830T124025
2,801712.SI,玻璃玻纤,801710.SI,active,qdh-bj-20260830T124025
2,801713.SI,装修建材,801710.SI,active,qdh-bj-20260830T124025
2,801721.SI,房屋建设Ⅱ,801720.SI,active,qdh-bj-20260830T124025
2,801722.SI,装修装饰Ⅱ,801720.SI,active,qdh-bj-20260830T124025
2,801723.SI,基础建设,801720.SI,active,qdh-bj-20260830T124025
2,801724.SI,专业工程,801720.SI,active,qdh-bj-20260830T124025
2,801726.SI,工程咨询服务Ⅱ,801720.SI,active,qdh-bj-20260830T124025
2,801731.SI,电机Ⅱ,801730.SI,active,qdh-bj-20260830T124025
2,801733.SI,其他电源设备Ⅱ,801730.SI,active,qdh-bj-20260830T124025
2,801735.SI,光伏设备,801730.SI,active,qdh-bj-20260830T124025
2,801736.SI,风电设备,801730.SI,active,qdh-bj-20260830T124025
2,801737.SI,电池,801730.SI,active,qdh-bj-20260830T124025
2,801738.SI,电网设备,801730.SI,active,qdh-bj-20260830T124025
2,801741.SI,航天装备Ⅱ,801740.SI,active,qdh-bj-20260830T124025
2,801742.SI,航空装备Ⅱ,801740.SI,active,qdh-bj-20260830T124025
2,801743.SI,地面兵装Ⅱ,801740.SI,active,qdh-bj-20260830T124025
2,801744.SI,航海装备Ⅱ,801740.SI,active,qdh-bj-20260830T124025
2,801745.SI,军工电子Ⅱ,801740.SI,active,qdh-bj-20260830T124025
2,801764.SI,游戏Ⅱ,801760.SI,active,qdh-bj-20260830T124025
2,801765.SI,广告营销,801760.SI,active,qdh-bj-20260830T124025
2,801766.SI,影视院线,801760.SI,active,qdh-bj-20260830T124025
2,801767.SI,数字媒体,801760.SI,active,qdh-bj-20260830T124025
2,801769.SI,出版,801760.SI,active,qdh-bj-20260830T124025
2,801782.SI,国有大型银行Ⅱ,801780.SI,active,qdh-bj-20260830T124025
2,801783.SI,股份制银行Ⅱ,801780.SI,active,qdh-bj-20260830T124025
