ts_code,name,signal_trade_date,signal_state,cross_age,predicted_cross_days,dd250,high_age,pos60,stable,green_days,green_peak_pct,green_area_pct,slope3_pct,slope_accel_pct,hist_expand_pct,r3_pct,daily_pct,vol_ratio,market_r3_pct,flow3_ratio_current,flow3_complete_current,flow_asof_current,flow3_ratio_lagged,flow3_complete_lagged,flow_asof_lagged,no_new_low_5,limit_pct,heat_ratio,consecutive_limit_up,shape_score,strategy,ranking_score,data_status
003021.SZ,兆威机电,20260831,pending,21,0.078,49.399,382,21.377,True,8,3.015,12.945,0.1908,0.385,0.603,5.834,6.631,1.733,1.886,0.007126037210755939,True,20260831,-0.008145902069830275,True,20260828,True,9.996,0.663,0,89.58,L1_CROSS_WINDOW_PURE,89.58,today_close
000818.SZ,航锦科技,20260831,pending,20,0.689,53.954,398,21.244,True,9,2.704,15.061,0.1715,0.3212,0.5734,3.045,0.886,0.655,1.886,0.007047878447333177,True,20260831,0.00019642443769922436,True,20260828,True,9.992,0.089,0,88.97,L1_CROSS_WINDOW_PURE,88.97,today_close
688041.SH,海光信息,20260831,pending,12,0.377,31.434,187,16.553,True,9,3.711,20.517,0.3387,0.3009,1.0634,9.932,3.426,0.849,1.886,0.0045941284389140625,True,20260831,0.0006489766418668604,True,20260828,True,20.001,0.171,0,88.78,L1_CROSS_WINDOW_PURE,88.78,today_close
688100.SH,威胜信息,20260831,pending,37,1.447,42.307,301,13.827,True,11,3.469,26.104,0.0967,0.3078,0.5517,1.826,1.275,0.848,1.886,0.004261996539047923,True,20260831,0.000641763118085842,True,20260828,True,20.015,0.064,0,85.49,L1_CROSS_WINDOW_PURE,85.49,today_close
600410.SH,华胜天成,20260831,pending,25,1.664,57.59,271,15.282,True,8,2.785,15.946,0.0578,0.2846,0.5284,3.826,2.291,0.541,1.886,0.002658568749574757,True,20260831,-0.000521661936697745,True,20260828,True,9.978,0.23,0,83.36,L1_CROSS_WINDOW_PURE,83.36,today_close
300528.SZ,幸福蓝海,20260831,pending,16,0.454,58.602,384,13.222,True,10,2.191,14.055,0.0935,0.2331,0.4132,2.776,3.978,0.881,1.886,0.0017645644185545557,True,20260831,-0.008989823564408696,True,20260828,True,19.969,0.199,0,82.92,L1_CROSS_WINDOW_PURE,82.92,today_close
300251.SZ,光线传媒,20260831,just_cross,0,0.0,56.11,283,32.384,True,11,1.834,14.142,0.202,0.2021,0.5428,6.966,6.868,2.547,1.886,0.018821847329775536,True,20260831,0.0004462858261166456,True,20260828,True,19.963,0.344,0,82.06,L1_CROSS_WINDOW_PURE,82.06,today_close
600418.SH,江淮汽车,20260831,pending,37,1.616,63.932,384,9.548,True,9,2.489,12.435,0.0803,0.3255,0.3672,-0.522,-0.333,0.519,1.886,-0.00437563259638112,True,20260831,-0.005819435117912274,True,20260828,True,9.981,-0.033,0,81.99,L1_CROSS_WINDOW_PURE,81.99,today_close
301137.SZ,哈焊华通,20260831,pending,27,1.72,52.792,307,38.491,True,9,3.868,22.083,0.1117,0.3241,0.6721,2.27,0.996,0.406,1.886,0.006840024807290899,True,20260831,-0.002952610739195854,True,20260828,True,19.988,0.05,0,79.95,L1_CROSS_WINDOW_PURE,79.95,today_close
002402.SZ,和而泰,20260831,pending,20,0.438,65.29,357,12.687,True,8,1.836,8.137,0.1497,0.2205,0.4746,2.661,1.207,0.616,1.886,0.005878574675188845,True,20260831,0.0024373855103006197,True,20260828,True,10.021,0.12,0,79.8,L1_CROSS_WINDOW_PURE,79.8,today_close
